,Metro area,Population,city,state,latitude,longitude
0,"New York-Newark-Jersey City, NY-NJ-PA MSA",20320876,New York,NY,40.70544486,-73.99429321
1,"Los Angeles-Long Beach-Anaheim, CA MSA",13353907,Los Angeles,CA,34.06158954,-118.3213806
2,"Chicago-Naperville-Elgin, IL-IN-WI MSA",9533040,Chicago,IL,41.90515926,-87.67776489
3,"Dallas-Fort Worth-Arlington, TX MSA",7399662,Dallas,TX,32.83904348,-96.80053711
4,"Houston-The Woodlands-Sugar Land, TX MSA",6892427,Houston,TX,29.76302568,-95.35995483
5,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",6216589,Washington,DC,38.91129357,-77.03063965
6,"Miami-Fort Lauderdale-West Palm Beach, FL MSA",6158824,Miami,FL,25.75275373,-80.28808594
7,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",6096120,Philadelphia,PA,39.9537821,-75.17120361
8,"Atlanta-Sandy Springs-Roswell, GA MSA",5884736,Atlanta,GA,33.81321312,-84.37362671
9,"Boston-Cambridge-Newton, MA-NH MSA",4836531,Boston,MA,42.34784169,-71.07124329
10,"Phoenix-Mesa-Scottsdale, AZ MSA",4737270,Phoenix,AZ,33.44502284,-112.0701599
11,"San Francisco-Oakland-Hayward, CA MSA",4727357,San Francisco,CA,37.76089939,-122.4364471
12,"Riverside-San Bernardino-Ontario, CA MSA",4580670,Riverside,CA,33.94660614,-117.4026489
13,"Detroit-Warren-Dearborn, MI MSA",4313002,Detroit,MI,42.36241856,-83.0909729
14,"Seattle-Tacoma-Bellevue, WA MSA",3867046,Seattle,WA,47.62541905,-122.3355103
15,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",3600618,Minneapolis,MN,44.96558443,-93.29040527
16,"San Diego-Carlsbad, CA MSA",3337685,San Diego,CA,32.79056939,-117.1540833
17,"Tampa-St. Petersburg-Clearwater, FL MSA",3091399,Tampa,FL,27.99909824,-82.48123169
18,"Denver-Aurora-Lakewood, CO MSA",2888227,Denver,CO,39.73552421,-104.9702454
19,"Baltimore-Columbia-Towson, MD MSA",2808175,Baltimore,MD,39.3092862,-76.60903931
20,"St. Louis, MO-IL MSA",2807338,St. Louis,MO,38.61239776,-90.3213501
21,"Charlotte-Concord-Gastonia, NC-SC MSA",2525305,Charlotte,NC,35.19608159,-80.83053589
22,"Orlando-Kissimmee-Sanford, FL MSA",2509831,Orlando,FL,28.50233303,-81.37710571
23,"San Antonio-New Braunfels, TX MSA",2473974,San Antonio,TX,29.49443831,-98.5144043
24,"Portland-Vancouver-Hillsboro, OR-WA MSA",2453168,Portland,OR,45.5157854,-122.6541138
25,"Pittsburgh, PA MSA",2333367,Pittsburgh,PA,40.44467404,-79.97909546
26,"Sacramento–Roseville–Arden-Arcade, CA MSA",2324884,Sacramento–Roseville–Arden,CA,38.60394814,-121.3831329
27,"Las Vegas-Henderson-Paradise, NV MSA",2204079,Las Vegas,NV,36.14604127,-115.1367188
28,"Cincinnati, OH-KY-IN MSA",2179082,Cincinnati,OH,39.12668305,-84.50683594
29,"Kansas City, MO-KS MSA",2128912,Kansas City,MO,39.08299098,-94.58129883
30,"Austin-Round Rock, TX MSA",2115827,Austin,TX,30.30515632,-97.75772095
31,"Columbus, OH MSA",2078725,Columbus,OH,40.01165662,-82.9989624
32,"Cleveland-Elyria, OH MSA",2058844,Cleveland,OH,41.47341858,-81.67236328
33,"Indianapolis-Carmel-Anderson, IN MSA",2028614,Indianapolis,IN,39.806244,-86.13830566
34,"San Jose-Sunnyvale-Santa Clara, CA MSA",1998463,San Jose,CA,37.31648115,-121.8850708
35,"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",1903045,Nashville,TN,36.13769836,-86.7755127
36,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",1725246,Virginia Beach,VA,36.83439143,-76.0899353
37,"Providence-Warwick, RI-MA MSA",1621122,Providence,RI,41.82581637,-71.41490936
